Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
34100,73,57,6,3,2,5,5,3,0,0,0,2,0,0,0,0,0,0
34200,29,22,3,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0
34400,51,34,2,9,4,2,4,3,0,0,0,1,0,0,0,0,0,0
34501,35,16,6,7,5,1,4,1,1,2,0,0,0,0,0,0,0,0
34502,106,39,32,14,12,9,8,1,3,1,3,0,1,1,0,0,0,0
34600,32,16,5,3,5,3,3,0,0,2,1,0,0,0,0,0,0,0
34701,80,38,10,13,13,6,11,4,1,4,2,0,1,0,0,0,1,0
34702,37,24,1,6,3,3,1,0,0,1,0,0,0,0,0,0,0,0
34801,51,40,4,1,3,3,2,1,0,0,0,1,1,1,0,0,0,0
34802,88,36,29,4,12,7,8,1,5,1,1,0,0,0,0,0,0,0
34803,60,49,4,1,4,2,4,4,0,0,0,0,1,1,0,0,0,0
34900,60,19,15,5,18,3,9,5,3,1,0,0,3,0,2,0,0,1
35100,25,19,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
35200,37,32,0,3,2,0,7,7,0,0,0,0,0,0,0,0,0,0
35301,55,49,0,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0
35302,42,32,3,2,3,2,3,3,0,0,0,0,0,0,0,0,0,0
35500,104,57,12,21,9,5,7,4,1,2,0,0,0,0,0,0,0,0
35601,46,29,0,14,2,1,3,2,0,0,1,0,0,0,0,0,0,0
35602,32,19,3,5,5,0,5,3,0,0,2,0,0,0,0,0,0,0
35701,67,25,9,20,5,8,5,0,1,2,1,1,0,0,0,0,0,0
35702,89,70,1,5,9,4,1,1,0,0,0,0,0,0,0,0,0,0
35800,59,40,4,11,2,2,1,1,0,0,0,0,2,1,0,1,0,0
35900,48,26,4,13,2,3,6,0,1,5,0,0,0,0,0,0,0,0
36000,28,8,7,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
36100,57,36,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
36201,52,41,5,1,3,2,5,3,1,0,0,1,0,0,0,0,0,0
36202,78,62,5,6,2,3,3,3,0,0,0,0,0,0,0,0,0,0
36203,54,43,2,1,5,3,6,6,0,0,0,0,0,0,0,0,0,0
36301,43,33,4,2,4,0,1,0,0,0,1,0,1,0,0,0,1,0
36302,44,32,4,3,5,0,2,0,1,0,1,0,0,0,0,0,0,0
36303,74,65,1,2,5,1,9,9,0,0,0,0,0,0,0,0,0,0
36501,61,44,4,5,4,4,3,2,1,0,0,0,1,0,1,0,0,0
36502,43,39,1,0,1,2,5,5,0,0,0,0,0,0,0,0,0,0
