"Resident Birth by Mother's Race/Ethnicity, 2013",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
17602,66,0,8,0,56,2,10,0,2,0,7,1,7,0,0,0,7,0
17701,107,6,38,0,61,2,16,0,5,0,11,0,4,0,1,0,2,1
17702,119,7,18,2,89,3,14,0,2,0,12,0,4,0,1,0,3,0
17800,147,32,33,3,72,7,28,10,6,0,10,2,6,0,1,0,5,0
17900,121,40,38,0,42,1,15,6,8,0,1,0,6,1,1,0,4,0
18001,30,25,1,1,3,0,2,2,0,0,0,0,2,2,0,0,0,0
18002,70,60,1,0,7,2,6,4,0,0,2,0,0,0,0,0,0,0
18300,42,42,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18400,33,27,2,1,2,1,2,2,0,0,0,0,1,0,0,0,1,0
18800,149,30,44,3,64,8,20,4,9,0,7,0,7,1,0,0,5,1
19000,157,18,39,13,80,7,13,2,6,1,4,0,5,0,2,0,3,0
19100,143,16,18,13,88,8,14,1,3,0,9,1,6,0,1,0,5,0
19200,194,12,55,4,117,6,19,1,7,1,10,0,21,0,9,1,10,1
19501,112,6,14,2,89,1,12,0,4,0,8,0,5,1,0,0,4,0
19502,60,1,10,0,46,3,4,0,1,0,3,0,2,0,1,0,1,0
19700,137,7,43,2,82,3,15,0,8,0,7,0,7,0,2,0,5,0
19800,124,6,31,0,86,1,9,0,6,0,3,0,11,0,3,0,8,0
19900,81,0,26,1,52,2,7,0,4,0,3,0,6,0,1,0,5,0
20000,28,2,21,0,5,0,5,0,5,0,0,0,1,0,0,0,1,0
20101,59,2,50,0,6,1,5,0,5,0,0,0,3,0,2,0,1,0
20102,58,1,51,0,2,4,4,0,4,0,0,0,1,0,0,0,0,1
20200,83,1,75,0,3,4,17,0,14,0,1,2,1,0,1,0,0,0
20300,50,3,43,0,1,3,9,1,8,0,0,0,0,0,0,0,0,0
20400,56,0,49,0,4,3,4,0,4,0,0,0,3,0,3,0,0,0
20500,39,1,35,0,1,2,5,0,5,0,0,0,3,0,3,0,0,0
20600,20,3,11,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
20700,92,65,11,4,9,3,9,7,1,0,1,0,0,0,0,0,0,0
20800,12,7,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
20900,38,26,7,1,3,1,3,2,0,0,1,0,3,0,3,0,0,0
21000,64,58,1,0,2,3,6,5,0,0,0,1,0,0,0,0,0,0
21100,35,27,5,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0
21200,41,34,3,1,2,1,8,6,1,0,1,0,0,0,0,0,0,0
21300,36,32,3,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
21400,39,34,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21500,57,48,5,3,0,1,7,6,1,0,0,0,0,0,0,0,0,0
21600,26,22,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
21700,76,61,4,5,4,2,4,3,0,0,0,1,1,0,0,1,0,0
21800,55,23,16,2,5,9,3,0,2,0,0,1,1,0,1,0,0,0
21900,17,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22000,11,8,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
23100,16,14,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0
23500,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23600,21,11,9,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0
23700,55,20,28,3,3,1,2,1,1,0,0,0,4,0,3,0,1,0
23800,49,11,32,0,0,6,5,0,5,0,0,0,1,0,1,0,0,0
23900,12,3,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24000,52,10,31,5,0,6,6,0,4,1,0,1,0,0,0,0,0,0
24100,7,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24200,70,7,60,0,1,2,7,0,7,0,0,0,1,0,1,0,0,0
24300,69,7,54,0,5,3,7,1,4,0,1,1,3,0,1,0,1,1
24400,58,1,49,1,3,4,8,0,7,0,1,0,1,0,0,0,0,1
24500,71,2,62,1,4,2,11,0,11,0,0,0,4,0,4,0,0,0
24600,59,2,47,0,3,7,12,0,9,0,1,2,2,0,2,0,0,0
24700,80,0,74,1,2,3,12,0,11,0,1,0,10,0,9,0,1,0
24800,41,0,37,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0
24900,62,1,56,0,4,1,7,0,7,0,0,0,3,0,3,0,0,0
25200,97,4,86,0,2,5,8,1,7,0,0,0,3,0,3,0,0,0
25300,69,6,61,0,1,1,15,0,13,0,1,1,1,0,1,0,0,0
25400,42,11,24,2,3,2,4,0,2,0,2,0,0,0,0,0,0,0
25500,35,13,21,1,0,0,6,0,6,0,0,0,1,0,1,0,0,0
25600,22,12,6,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0
25700,45,21,14,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0
25800,11,0,10,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0
25900,53,0,50,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
26000,19,0,19,0,0,0,5,0,5,0,0,0,1,0,1,0,0,0
26100,27,3,21,0,2,1,3,0,3,0,0,0,0,0,0,0,0,0
26200,41,0,37,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0
26301,43,1,39,0,1,2,6,0,6,0,0,0,3,0,3,0,0,0
26302,73,1,59,1,6,6,6,0,5,0,0,1,2,0,2,0,0,0
26400,53,1,47,2,1,2,8,0,6,1,0,1,0,0,0,0,0,0
26500,48,0,43,0,1,4,7,0,5,0,1,1,2,0,2,0,0,0
26600,71,1,59,0,4,7,9,0,9,0,0,0,1,0,1,0,0,0
26700,82,1,76,1,1,3,12,0,11,0,0,1,4,0,3,0,0,1
26800,62,2,53,0,5,2,8,0,8,0,0,0,1,0,1,0,0,0
26900,9,1,5,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0
27000,22,2,18,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
27100,28,0,21,3,3,1,6,0,6,0,0,0,0,0,0,0,0,0
27200,53,1,44,2,4,2,7,0,7,0,0,0,1,0,1,0,0,0
27300,90,1,52,12,15,10,10,0,8,0,1,1,2,0,2,0,0,0
27401,46,1,19,8,11,7,6,0,3,2,1,0,0,0,0,0,0,0
27402,114,3,71,14,19,7,11,0,6,2,1,2,3,0,2,1,0,0
27500,65,2,45,4,8,6,8,0,7,0,0,1,1,0,1,0,0,0
27600,51,5,41,1,2,2,7,0,7,0,0,0,2,0,1,0,0,1
27700,80,1,71,0,4,4,10,0,8,0,1,1,6,0,5,0,0,1
27800,50,0,47,0,3,0,10,0,9,0,1,0,4,0,4,0,0,0
27901,67,1,61,0,1,4,11,0,11,0,0,0,1,0,1,0,0,0
27902,25,2,23,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0
28000,75,1,69,1,2,2,8,0,6,0,0,2,2,0,2,0,0,0
28100,52,2,42,2,3,3,10,0,9,0,1,0,1,0,1,0,0,0
28200,77,2,59,4,7,5,12,0,9,1,2,0,4,0,3,0,1,0
28300,103,4,83,3,8,5,12,1,11,0,0,0,4,0,3,0,1,0
28400,79,4,50,2,18,5,9,0,8,0,1,0,2,0,2,0,0,0
28500,42,0,16,0,24,2,6,0,5,0,1,0,2,0,0,0,2,0
28600,120,1,64,6,45,4,14,0,12,1,1,0,3,0,3,0,0,0
28700,58,2,17,1,36,2,8,0,3,0,4,1,2,0,0,0,2,0
28800,88,5,20,6,51,6,9,1,3,1,4,0,2,0,0,0,1,1
28901,67,3,18,0,40,6,12,0,2,0,8,2,3,0,2,0,1,0
28902,124,8,27,5,75,9,13,1,2,1,8,1,3,0,1,0,1,1
29000,98,2,35,8,44,9,12,0,7,1,4,0,4,0,1,0,3,0
29100,59,1,30,11,14,3,6,0,2,1,2,1,2,0,1,0,1,0
29200,49,4,18,1,23,3,5,1,1,0,2,1,2,0,1,0,1,0
29300,51,13,18,0,15,5,2,0,1,0,1,0,2,1,1,0,0,0
29400,71,10,31,2,23,5,6,1,3,0,1,1,5,0,1,0,4,0
29800,88,20,37,1,25,5,10,1,8,0,0,1,4,2,2,0,0,0
29900,93,12,50,1,26,4,8,0,7,0,1,0,5,1,3,0,1,0
30000,131,8,76,3,40,4,14,1,11,0,2,0,6,1,2,0,3,0
30100,89,6,57,0,23,3,13,1,10,0,0,2,4,0,3,0,0,1
