"Resident Births by Mother's Race/Ethnicity, 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,All Live Births,,,,,"Births Weighing < 2,500 grams",,,,,Births to Mothers < 18,,,,
Census Tract,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other,"White, NH","Black, NH","Asian, NH",Hispanic,Other
38200,28,11,1,25,3,4,5,0,1,0,1,0,0,6,0
38300,0,8,0,34,2,0,0,0,2,0,0,0,0,1,0
38400,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0
38500,18,0,1,1,0,0,0,1,0,0,0,0,0,0,0
38600,5,2,0,2,0,0,1,0,1,0,0,0,0,0,0
38700,15,0,2,0,0,1,0,2,0,0,0,0,0,0,0
38800,27,10,2,4,2,1,2,0,0,0,0,0,0,0,0
38900,1,21,0,2,1,1,3,0,0,0,0,0,0,0,1
39000,13,80,3,32,13,1,12,0,2,0,1,7,0,0,1
12203,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0
37500,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0
980000,4,4,6,0,3,2,0,0,0,0,0,0,0,0,0
980100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
980200,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0
980300,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
980400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
980600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
980800,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
980900,1,2,3,1,1,0,0,0,0,1,0,0,0,0,0
