Census Tract,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
020900,27,1,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
021000,38,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
021100,21,8,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
021200,28,2,1,1,1,0,3,1,0,0,0,0,2,0,0,0,0,0
021300,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
021400,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021500,26,1,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
021600,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
021700,48,3,5,0,4,0,3,1,0,0,0,0,2,0,0,0,0,0
021800,31,6,7,2,2,0,5,1,0,0,0,0,0,0,0,0,0,0
021900,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022000,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022100,7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
022200,7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
022300,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022400,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022500,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
022600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
022700,12,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
022800,14,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
023000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023100,17,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
023200,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
023300,29,16,3,1,0,2,2,2,0,0,0,1,0,0,0,0,0,0
023400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023500,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
023600,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
023700,19,33,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,1
023800,10,56,1,1,2,3,3,11,0,0,0,0,0,3,0,0,1,0
023900,3,15,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0
024000,9,41,3,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0
024100,1,11,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
024200,4,70,1,0,5,1,0,9,1,0,1,0,0,5,1,0,1,0
024300,3,53,2,0,3,1,0,9,0,0,1,0,0,1,0,0,0,0
024400,2,46,2,1,3,3,1,3,0,0,1,0,0,3,0,0,1,0
024500,2,71,2,4,1,1,0,11,0,4,0,0,0,9,0,1,0,0
024600,0,53,0,2,1,1,0,9,0,0,1,0,0,7,0,0,0,0
024700,1,72,0,3,4,3,0,3,0,1,1,0,0,4,0,1,0,0
024800,0,26,1,1,2,1,0,2,0,0,1,0,0,3,0,0,0,0
024900,0,60,0,0,1,0,0,17,0,0,0,0,0,2,0,0,0,0
025000,2,13,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
025100,0,26,0,1,1,3,0,3,0,0,0,0,0,5,0,0,0,0
025200,6,91,1,2,9,0,1,13,0,0,1,0,0,11,0,0,0,0
025300,3,54,0,1,2,3,0,13,0,0,0,0,0,5,0,0,0,1
025400,3,38,2,1,3,1,0,5,0,0,0,0,0,1,0,0,0,0
025500,10,22,2,1,2,0,1,4,0,0,0,0,0,2,0,0,0,0
025600,17,7,2,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0
025700,30,11,6,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0
025800,0,11,0,0,1,2,0,3,0,0,0,0,0,1,0,0,0,0
025900,0,62,0,1,2,1,0,4,0,0,0,0,0,2,0,0,1,0
026000,0,24,0,0,1,1,0,2,0,0,1,0,0,1,0,0,1,0
026100,0,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
026200,1,45,0,1,1,0,0,7,0,1,0,0,0,1,0,0,0,0
026301,0,32,0,1,2,0,0,6,0,0,1,0,0,1,0,0,0,0
026302,1,72,0,0,0,5,0,5,0,0,0,2,0,5,0,0,0,0
026400,0,68,0,2,0,1,0,9,0,2,0,0,0,6,0,0,0,0
026500,0,51,0,2,0,0,0,4,0,0,0,0,0,5,0,0,0,0
026600,0,101,2,1,2,2,0,13,1,0,0,0,0,10,0,0,0,0
026700,0,93,0,3,5,0,0,20,0,0,4,0,0,11,0,0,0,0
026800,3,51,2,1,1,1,0,6,0,1,0,0,0,3,0,0,0,0
026900,2,15,4,0,3,0,0,2,1,0,0,0,0,0,1,0,0,0
027000,0,23,1,3,4,0,0,3,0,0,1,0,0,1,0,0,0,0
027100,1,13,6,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0
027200,2,44,7,1,6,1,0,4,1,0,2,1,0,3,0,0,0,0
027300,0,43,18,7,26,4,0,4,1,2,5,0,0,2,0,0,3,0
027400,5,107,21,9,32,2,0,8,1,2,4,0,0,14,0,0,2,0
027500,3,31,6,1,10,1,0,3,0,0,1,1,0,2,0,0,2,0
027600,0,36,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0
027700,0,53,1,1,2,1,0,8,0,0,0,0,0,6,0,0,0,0
027800,0,59,0,2,4,0,0,10,0,0,0,0,0,5,0,1,0,0
027900,2,83,0,3,4,6,0,18,0,0,0,2,0,7,0,0,1,0
028000,0,75,0,2,1,1,0,5,0,0,0,0,0,6,0,0,0,0
028100,0,39,2,0,3,0,0,9,0,0,0,0,0,1,0,0,0,0
028200,2,72,5,2,9,1,0,8,0,0,1,0,0,9,0,0,0,0
028300,3,109,7,14,10,0,0,17,0,2,0,0,0,15,1,0,1,0
028400,2,53,2,1,24,0,0,11,0,0,2,0,0,7,0,0,3,0
028500,0,22,3,1,16,1,0,5,0,0,2,0,0,3,0,0,0,1
028600,5,68,13,6,41,3,2,8,3,0,6,0,0,6,0,0,2,0
028700,2,21,0,3,29,3,0,1,0,0,6,2,0,1,0,1,7,1
028800,7,27,7,4,45,2,1,3,1,1,5,1,0,2,1,0,3,0
028900,10,58,15,6,128,6,0,12,0,0,11,0,0,7,0,0,10,0
029000,4,37,15,3,27,4,0,6,3,0,3,0,0,2,1,0,2,0
029100,7,30,18,4,12,3,1,3,1,0,2,0,0,3,0,0,1,0
029200,7,26,5,4,26,4,2,7,0,0,0,1,0,4,0,0,1,1
029300,15,27,0,0,15,3,3,6,0,0,4,0,2,2,0,0,0,0
029400,17,30,2,0,20,0,4,4,0,0,2,0,1,2,0,0,2,0
029500,9,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
029600,14,3,1,1,6,1,1,0,0,0,0,0,1,0,0,1,3,0
029700,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
029800,22,34,1,2,13,7,4,8,0,0,1,2,2,2,0,0,0,0
029900,9,58,1,1,29,2,2,10,0,0,4,0,1,2,0,0,5,0
030000,25,83,5,3,28,9,4,8,0,0,2,2,2,5,0,0,6,2
030100,18,52,1,4,24,5,2,3,0,1,1,0,1,3,0,0,2,0
030200,20,54,3,6,28,5,0,6,0,0,5,1,0,7,0,0,4,0
030300,25,58,4,6,31,5,3,9,0,1,4,0,1,5,0,0,3,0
030400,3,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
030500,31,88,7,7,45,5,3,10,0,0,2,0,2,3,0,0,1,0
030600,36,30,5,5,13,1,3,4,2,1,2,0,1,1,0,0,1,0
030700,19,12,4,3,6,1,1,1,2,0,1,0,0,0,0,0,0,0
030800,31,9,5,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0
030900,18,25,6,6,13,2,2,3,0,0,1,0,0,2,1,0,1,0
031000,32,12,17,3,10,2,4,1,1,0,2,0,0,0,1,0,1,0
031100,25,61,12,2,30,2,1,12,1,0,0,0,0,5,0,1,5,0
