"Resident Birth by Mother's Race/Ethnicity, 2014",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,All Live Births,,,,,,"Births Weighting < 2,500 grams",,,,,,Births to Mothers < 18,,,,,
Census Tract,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other,All,"White, NH","Black, NH","Asian, NH",Hispanic,Other
22000,11,8,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
23100,7,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23500,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23600,28,18,7,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
23700,57,16,32,5,0,4,4,0,4,0,0,0,4,0,3,0,0,1
23800,55,16,36,0,2,1,7,1,5,0,1,0,0,0,0,0,0,0
23900,27,5,14,4,2,2,2,0,1,0,0,1,0,0,0,0,0,0
24000,50,10,35,1,1,3,4,1,3,0,0,0,4,0,4,0,0,0
24100,21,3,11,2,1,4,2,0,2,0,0,0,1,0,1,0,0,0
24200,88,4,74,0,0,10,11,1,10,0,0,0,4,0,4,0,0,0
24300,73,12,53,1,2,5,7,0,7,0,0,0,1,0,1,0,0,0
24400,58,3,50,0,1,4,9,0,8,0,0,1,0,0,0,0,0,0
24500,71,1,63,0,3,4,9,0,9,0,0,0,2,0,2,0,0,0
24600,51,0,44,0,3,4,12,0,11,0,0,1,3,0,3,0,0,0
24700,67,2,61,0,4,0,11,0,10,0,1,0,2,0,2,0,0,0
24800,28,0,27,0,0,1,2,0,2,0,0,0,1,0,1,0,0,0
24900,66,2,58,0,3,3,7,0,7,0,0,0,2,0,1,0,0,1
25200,95,6,83,2,0,4,9,1,7,0,0,1,6,1,5,0,0,0
25300,58,4,46,0,3,5,12,0,9,0,1,2,2,0,1,0,0,1
25400,49,9,36,0,2,2,7,0,6,0,0,1,0,0,0,0,0,0
25500,27,8,12,0,1,6,6,0,4,0,0,2,0,0,0,0,0,0
25600,30,22,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
25700,35,18,7,3,3,4,4,0,1,2,0,1,0,0,0,0,0,0
25800,14,2,11,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
25900,40,0,37,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0
26000,30,1,26,0,1,2,5,0,5,0,0,0,0,0,0,0,0,0
26100,28,0,24,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0
26200,26,1,23,0,1,1,5,0,5,0,0,0,2,0,2,0,0,0
26301,42,3,32,0,0,7,3,0,1,0,0,2,0,0,0,0,0,0
26302,58,0,49,0,3,6,7,0,5,0,1,1,2,0,2,0,0,0
26400,55,1,44,2,4,4,10,0,8,0,1,1,1,0,1,0,0,0
26500,68,1,61,0,2,4,6,0,6,0,0,0,3,0,3,0,0,0
26600,63,0,57,0,2,4,13,0,12,0,0,1,2,0,1,0,1,0
26700,90,1,77,1,5,6,9,0,9,0,0,0,0,0,0,0,0,0
26800,65,1,50,0,5,9,10,0,9,0,1,0,0,0,0,0,0,0
26900,19,2,14,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0
27000,22,1,17,0,2,2,4,0,3,0,0,1,2,0,1,0,0,1
27100,34,0,18,9,2,5,2,0,1,1,0,0,0,0,0,0,0,0
27200,60,2,43,0,6,9,9,0,8,0,1,0,2,0,2,0,0,0
27300,112,4,51,18,24,15,17,0,8,2,5,2,3,0,1,1,1,0
27401,53,1,24,9,14,5,4,0,2,0,1,1,3,0,2,0,1,0
27402,106,2,62,11,22,9,20,0,12,1,5,2,2,0,1,0,1,0
27500,65,3,37,10,11,4,6,0,3,1,2,0,1,0,1,0,0,0
27600,41,1,33,1,1,5,7,0,7,0,0,0,1,0,1,0,0,0
27700,59,1,47,0,5,6,5,0,5,0,0,0,2,0,2,0,0,0
27800,64,0,58,0,4,2,5,0,5,0,0,0,2,0,2,0,0,0
27901,50,1,45,1,1,2,7,0,7,0,0,0,0,0,0,0,0,0
27902,30,2,25,0,2,1,3,0,3,0,0,0,0,0,0,0,0,0
28000,58,0,54,0,3,1,5,0,5,0,0,0,1,0,1,0,0,0
28100,44,2,36,1,2,3,8,0,7,0,1,0,2,0,2,0,0,0
28200,82,2,67,3,6,4,10,2,6,0,0,2,3,0,3,0,0,0
28300,102,5,78,2,8,9,13,0,8,0,2,3,10,0,7,0,3,0
28400,76,2,43,0,27,4,8,0,4,0,4,0,4,0,3,0,1,0
28500,48,0,28,6,12,2,7,0,4,1,1,1,2,0,0,0,2,0
28600,118,5,61,8,39,5,13,1,7,0,5,0,2,0,0,0,2,0
28700,39,0,10,1,26,2,2,0,0,0,2,0,3,0,0,0,3,0
28800,84,1,13,7,53,10,14,1,4,1,8,0,3,0,0,0,3,0
28901,72,3,18,3,40,8,7,0,3,0,3,1,3,0,3,0,0,0
28902,128,6,35,4,71,12,8,0,1,1,6,0,3,0,0,0,3,0
29000,106,3,34,9,52,8,4,0,1,2,1,0,8,0,2,0,6,0
29100,71,2,21,20,24,4,8,0,2,2,3,1,3,0,1,0,2,0
29200,57,2,17,2,31,5,4,0,2,0,2,0,1,0,0,0,1,0
29300,74,13,31,0,27,3,11,1,7,0,3,0,4,0,2,0,2,0
29400,55,7,20,0,26,2,4,1,1,0,2,0,2,0,0,0,2,0
29800,76,10,36,2,26,2,12,2,6,1,3,0,0,0,0,0,0,0
29900,84,10,30,0,36,8,9,2,2,0,2,3,3,0,1,0,2,0
30000,129,10,78,2,32,7,11,2,5,0,3,1,7,0,5,0,2,0
30100,78,11,43,0,22,2,12,0,8,0,3,1,5,0,2,0,2,1
30200,123,11,65,1,35,11,11,2,9,0,0,0,3,0,2,0,1,0
30501,78,8,41,8,19,2,8,1,6,1,0,0,1,0,1,0,0,0
30502,90,7,49,5,18,11,12,1,10,0,1,0,2,0,2,0,0,0
30600,93,19,33,8,23,10,12,0,7,1,2,2,3,1,1,0,1,0
30700,46,16,10,3,11,6,5,2,2,1,0,0,1,0,0,0,0,1
30800,60,22,14,11,10,3,5,1,1,1,2,0,0,0,0,0,0,0
30900,74,5,32,8,21,8,16,0,9,3,2,2,1,0,0,0,0,1
31000,100,14,24,23,25,14,9,1,3,1,4,0,2,0,2,0,0,0
31101,79,7,37,2,29,4,8,0,6,0,2,0,2,0,0,0,2,0
31102,81,14,30,3,30,4,9,3,2,0,4,0,2,0,1,0,1,0
31200,77,6,32,1,32,6,10,0,8,0,1,1,1,0,0,0,1,0
31300,132,17,43,13,37,22,5,1,1,0,1,2,7,1,2,0,3,1
31401,118,16,22,22,44,14,13,0,4,2,5,2,1,0,1,0,0,0
31402,83,15,15,20,24,9,8,0,2,4,2,0,2,1,0,0,1,0
31501,85,46,14,6,14,5,4,4,0,0,0,0,0,0,0,0,0,0
31502,50,24,6,3,14,3,3,1,0,0,2,0,1,0,0,0,1,0
31600,87,35,14,9,21,8,8,3,3,2,0,0,1,1,0,0,0,0
31700,115,27,33,12,32,11,9,4,4,0,1,0,0,0,0,0,0,0
31800,79,6,26,1,41,5,8,0,2,0,5,1,1,0,1,0,0,0
31900,86,21,31,0,30,4,11,1,4,0,6,0,2,1,0,0,1,0
32000,83,37,14,2,21,9,6,1,0,0,4,1,2,0,1,0,1,0
32100,63,21,15,3,19,5,7,0,2,0,3,2,1,0,0,0,0,1
32300,61,21,17,1,16,6,6,4,1,0,1,0,2,1,0,0,1,0
32500,68,25,17,7,17,2,5,2,3,0,0,0,5,1,3,0,1,0
32600,96,46,20,0,20,10,5,1,2,0,2,0,2,0,0,0,1,1
32900,80,38,14,2,21,5,11,2,3,0,6,0,3,3,0,0,0,0
33000,131,62,25,8,30,6,9,4,1,1,2,1,4,1,2,0,1,0
33101,64,53,2,0,6,3,9,8,0,0,0,1,1,1,0,0,0,0
33102,53,28,10,0,10,5,2,1,0,0,0,1,1,1,0,0,0,0
33200,30,18,3,0,4,5,3,1,0,0,1,1,0,0,0,0,0,0
33300,47,28,6,5,4,4,4,2,0,1,0,1,0,0,0,0,0,0
33400,74,28,13,11,12,10,10,4,2,1,3,0,0,0,0,0,0,0
33500,52,19,8,6,9,10,4,2,1,0,1,0,0,0,0,0,0,0
33600,108,59,17,6,18,8,1,0,1,0,0,0,0,0,0,0,0,0
33701,76,40,7,8,10,11,4,2,1,1,0,0,2,1,0,0,0,1
33702,71,33,9,20,5,4,5,2,3,0,0,0,1,0,0,0,1,0
33800,82,44,8,9,10,11,6,4,0,0,1,1,1,0,0,0,0,1
33900,43,24,2,3,9,5,4,3,0,0,1,0,0,0,0,0,0,0
34000,39,31,1,3,3,1,3,3,0,0,0,0,1,0,0,0,0,1
34100,85,59,9,0,11,6,6,5,0,0,1,0,0,0,0,0,0,0
34200,43,22,10,7,3,1,9,6,3,0,0,0,0,0,0,0,0,0
34400,63,50,0,10,2,1,2,1,0,1,0,0,1,1,0,0,0,0
34501,45,14,11,12,5,3,4,1,1,2,0,0,0,0,0,0,0,0
34502,107,38,30,19,14,6,9,4,3,1,1,0,1,0,0,0,1,0
34600,41,15,16,3,6,1,4,0,2,1,1,0,0,0,0,0,0,0
34701,73,30,8,17,8,10,6,3,0,1,0,2,0,0,0,0,0,0
34702,40,27,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
34801,47,26,8,1,4,8,2,1,1,0,0,0,0,0,0,0,0,0
34802,62,23,22,0,11,6,1,1,0,0,0,0,0,0,0,0,0,0
34803,54,35,4,3,9,3,4,2,0,0,2,0,0,0,0,0,0,0
34900,90,34,19,9,22,6,8,5,2,0,0,1,2,1,1,0,0,0
35100,22,17,2,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0
35200,32,23,3,4,1,1,2,1,1,0,0,0,0,0,0,0,0,0
35301,53,42,0,2,5,4,5,5,0,0,0,0,0,0,0,0,0,0
35302,58,40,7,2,6,3,3,2,0,0,1,0,0,0,0,0,0,0
35500,92,50,11,14,8,9,4,3,1,0,0,0,1,0,0,0,1,0
35601,42,21,1,10,4,6,5,1,1,1,0,2,1,0,0,0,1,0
35602,30,19,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
35701,65,27,6,19,5,8,3,2,0,0,1,0,0,0,0,0,0,0
