"Live Birth Events by Mother's Race and Ethnicity, 2006",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Census Tract,Number of Live Births,,,,,,"Number of Live Births Weighing < 2,500 grams",,,,,,Number of Live Births to Mothers < 18,,,,,
,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown,"White, NH","Black, NH","Asian, NH","Other, NH",Hispanic,Unknown
22900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23100,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23200,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23300,25,10,1,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0
23400,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23500,6,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
23600,15,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23700,12,38,0,2,2,2,3,4,0,0,0,0,0,0,0,0,0,0
23800,11,38,0,1,5,2,0,8,0,0,1,0,0,2,0,0,0,0
23900,1,15,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0
24000,11,42,1,3,2,2,0,2,0,0,0,0,0,3,0,0,0,0
24100,1,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24200,4,47,1,1,6,4,0,7,0,0,0,1,0,3,0,0,0,0
24300,3,59,0,1,3,5,0,9,0,0,0,0,0,5,0,0,0,0
24400,3,45,1,2,2,2,0,4,0,0,1,0,0,2,0,0,1,0
24500,1,82,0,0,2,2,0,10,0,0,1,0,0,8,0,0,0,0
24600,1,70,1,1,5,1,0,8,0,0,1,0,0,5,0,0,1,0
24700,1,64,2,0,3,3,0,6,0,0,1,0,0,4,0,0,0,1
24800,2,37,0,0,3,3,0,5,0,0,0,0,0,4,0,0,0,0
24900,1,53,0,0,1,3,0,7,0,0,0,1,0,5,0,0,0,0
25000,0,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25100,1,16,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
25200,4,106,1,1,2,2,0,11,0,0,2,0,0,8,0,0,0,0
25300,2,57,0,4,1,1,1,4,0,0,0,0,0,7,0,0,0,0
25400,5,40,0,1,0,3,4,4,0,0,0,1,0,0,0,0,0,0
25500,9,17,0,1,3,0,0,4,0,0,0,0,0,1,0,0,0,0
25600,12,8,0,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0
25700,22,14,3,2,1,2,3,3,0,0,0,0,0,1,0,0,0,0
25800,0,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
25900,0,50,0,0,4,1,0,4,0,0,1,0,0,2,0,0,0,0
26000,0,28,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0
26100,0,31,2,1,1,3,0,1,0,0,0,2,0,2,0,0,0,0
26200,1,46,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0
26301,2,36,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
26302,2,63,0,3,0,1,1,8,0,0,0,0,0,4,0,0,0,0
26400,1,62,0,1,0,1,0,10,0,0,0,0,0,4,0,0,0,0
26500,1,70,0,2,1,1,0,11,0,0,0,0,0,5,0,0,0,0
26600,0,76,0,1,1,2,0,13,0,0,0,0,0,6,0,0,0,0
26700,3,88,0,2,2,1,2,15,0,0,0,0,0,4,0,0,0,0
26800,0,56,1,1,4,1,0,7,0,0,2,1,0,6,0,0,0,0
26900,0,10,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
27000,3,24,3,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0
27100,0,19,3,3,4,0,0,3,0,0,1,0,0,0,0,0,0,0
27200,3,45,4,1,9,0,0,11,0,0,0,0,0,3,0,0,0,0
27300,4,52,20,9,20,1,1,7,4,2,4,0,0,5,1,1,0,0
27400,12,103,26,19,43,3,1,17,1,1,6,1,0,4,0,0,1,2
27500,8,41,11,4,9,4,0,12,1,2,1,1,0,2,1,0,0,0
27600,1,53,3,1,2,2,0,11,0,0,0,0,0,5,0,0,0,1
27700,1,57,2,1,2,2,0,3,0,0,0,0,0,5,0,0,0,0
27800,0,51,0,1,0,2,0,9,0,0,0,0,0,6,0,0,0,0
27900,4,76,0,1,5,1,2,7,0,0,0,0,0,5,0,0,1,0
28000,1,72,1,3,7,4,0,16,0,0,0,1,0,10,0,0,1,0
28100,1,45,0,0,2,1,0,4,0,0,0,1,0,3,0,0,1,0
28200,1,72,5,1,2,3,0,7,0,0,1,2,0,7,0,0,0,0
28300,2,105,3,2,7,1,0,18,0,0,2,1,0,4,0,0,0,0
28400,4,60,1,1,19,1,1,10,0,0,1,1,0,2,1,0,2,0
28500,1,24,2,2,21,2,0,3,0,0,3,1,0,2,0,0,3,0
28600,6,70,10,9,42,5,1,17,2,1,3,0,0,5,2,1,1,0
28700,3,17,0,0,42,3,0,4,0,0,3,0,0,1,0,0,5,0
28800,3,19,7,6,50,2,0,3,0,1,2,0,0,6,0,0,2,0
28900,10,59,9,9,117,11,0,7,1,0,13,0,0,5,0,0,7,0
29000,1,46,17,8,45,1,0,11,1,0,2,0,0,6,1,1,4,0
29100,7,36,18,0,24,2,1,7,3,0,1,1,0,1,0,0,1,0
29200,11,23,4,2,24,0,0,6,1,0,0,0,0,1,0,0,2,0
29300,16,28,1,1,12,0,0,4,0,0,0,0,1,1,0,0,1,0
29400,10,26,1,0,21,4,1,2,0,0,0,0,0,3,0,0,2,0
29500,12,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1
29600,9,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
29700,8,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0
29800,30,31,3,3,30,1,1,6,0,0,3,1,0,2,0,1,4,1
29900,22,58,0,1,35,9,0,7,0,0,3,1,1,8,0,0,4,0
30000,19,77,0,1,28,8,4,11,0,0,6,0,0,10,0,0,3,0
30100,19,55,3,3,20,6,1,7,0,0,1,0,0,6,0,0,3,0
30200,16,57,3,8,41,5,1,7,0,0,6,0,1,3,0,0,3,1
30300,16,87,3,3,45,2,1,15,0,0,3,0,2,8,0,1,8,0
30400,4,6,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
30500,30,92,12,5,36,7,1,9,0,0,6,0,1,5,1,1,2,0
30600,33,25,5,2,18,2,3,1,2,0,0,1,0,1,0,0,0,0
30700,27,13,4,1,4,3,2,1,0,0,0,2,1,0,0,0,0,0
30800,29,6,8,3,7,1,1,0,0,1,0,0,0,1,0,0,0,0
30900,11,22,7,3,18,3,1,4,0,0,4,0,0,0,0,0,1,0
31000,26,31,18,4,9,1,1,1,0,0,1,0,0,0,1,0,0,0
31100,30,60,8,4,37,5,1,4,0,0,0,0,1,4,0,0,2,0
31200,12,24,3,2,24,2,3,3,0,0,7,0,0,0,0,0,1,0
31300,31,30,15,4,26,6,2,4,1,0,2,1,0,3,0,0,1,0
31400,55,39,35,12,43,4,4,4,1,1,1,1,3,2,0,0,3,0
31500,90,12,7,3,12,5,4,1,1,0,0,0,1,1,0,0,0,0
31600,53,4,2,1,9,2,6,1,0,0,1,0,1,0,0,0,0,0
31700,34,21,7,2,24,7,2,0,0,0,1,0,0,1,0,0,3,0
31800,13,26,5,3,7,2,3,3,0,1,0,0,1,4,0,0,0,0
31900,60,16,1,1,28,1,8,2,0,1,3,0,1,0,0,0,0,0
32000,73,19,1,4,17,4,3,3,0,0,2,0,2,0,0,0,0,0
32100,32,12,0,2,11,2,1,1,0,1,1,0,1,1,0,0,1,1
32200,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
32300,32,13,4,1,9,4,3,2,0,0,2,0,1,0,0,0,0,0
32500,51,16,2,3,7,2,4,6,0,0,1,0,2,0,0,0,0,0
32600,55,9,2,1,8,2,5,1,0,0,0,0,0,1,0,0,0,0
32700,1,14,0,0,2,0,0,2,0,0,1,0,0,8,0,0,2,0
32900,28,13,2,0,7,2,3,3,0,0,0,0,1,0,0,0,0,0
33000,93,14,7,4,15,2,6,4,1,1,2,0,0,0,0,0,1,0
33100,99,5,3,1,13,8,7,0,0,0,0,0,2,1,0,0,1,0
33200,30,3,2,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0
33300,21,5,3,1,8,2,4,1,0,0,3,1,0,0,0,0,0,0
33400,33,9,8,4,12,3,1,2,0,0,1,0,0,0,0,0,0,0
33500,24,7,8,1,9,2,2,0,0,0,1,0,0,1,0,0,0,0
33600,68,7,7,4,10,1,1,0,0,0,1,0,2,1,0,0,0,0
33700,71,6,9,4,13,6,6,0,0,0,0,0,0,0,0,0,0,0
33800,43,3,3,1,15,1,4,0,0,0,1,0,1,0,0,0,3,0
33900,31,5,5,2,7,0,1,0,1,0,0,0,1,0,0,0,0,0
34000,17,1,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
