"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2021-2022","District","Network 12","Elementary-Middle","2210","Bache-Martin School","894","Y","456","335","225","1.36","67.16%","49.34%"
"2021-2022","District","Network 2","Elementary-Middle","2240","Bregy, F. Amedee School","616","Y","243","421","24","0.58","5.70%","9.88%"
"2021-2022","District","Network 10","Elementary-Middle","2260","Childs, George W. School","1176","Y","434","615","280","0.71","45.53%","64.52%"
"2021-2022","District","Network 1","High","2290","Franklin Learning Center","963","N","983","0","0","-","-","0.00%"
"2021-2022","District","Network 2","Elementary","2320","Girard, Stephen School","497","N","316","782","252","0.40","32.23%","79.75%"
"2021-2022","District","Network 3","Elementary-Middle","2340","McCall, Gen. George A. School","596","N","653","763","613","0.86","80.34%","93.87%"
"2021-2022","District","Acceleration Network","Elementary-Middle","2370","McDaniel, Delaplaine School","914","N","302","850","206","0.36","24.24%","68.21%"
"2021-2022","District","Network 3","Elementary-Middle","2380","Meredith, William M. School","477","N","520","550","463","0.95","84.18%","89.04%"
"2021-2022","District","Network 3","Elementary-Middle","2390","Morris, Robert School","795","N","191","471","134","0.41","28.45%","70.16%"
"2021-2022","District","Network 1","Middle-High","2410","Girard Academic Music Program","616","N","594","0","0","-","-","0.00%"
"2021-2022","District","Network 10","Elementary-Middle","2450","Stanton, Edwin M. School","437","Y","305","436","197","0.70","45.18%","64.59%"
"2021-2022","District","Network 3","Elementary-Middle","2470","Greenfield, Albert M. School","676","N","648","589","510","1.10","86.59%","78.70%"
"2021-2022","District","Network 10","Elementary-Middle","2480","Arthur, Chester A. School","417","N","276","291","187","0.95","64.26%","67.75%"
"2021-2022","District","Network 3","Elementary-Middle","2490","Waring, Laura W. School","417","N","217","284","130","0.76","45.77%","59.91%"
"2021-2022","District","Network 10","Elementary-Middle","2510","Coppin, Fanny Jackson","517","Y","503","677","407","0.74","60.12%","80.91%"
"2021-2022","District","Network 10","Elementary","2520","Jenks, Abram School","318","N","241","229","88","1.05","38.43%","36.51%"
"2021-2022","Alternative","Innovation Network","Middle-High","2530","Phila Juv Justice Svcs Ctr","-","-","139","0","0","-","-","0.00%"
"2021-2022","District","Network 10","Elementary","2540","Key, Francis Scott School","556","N","402","699","294","0.58","42.06%","73.13%"
"2021-2022","District","Network 10","Elementary-Middle","2580","Kirkbride, Eliza B. School","636","Y","493","598","348","0.82","58.19%","70.59%"
"2021-2022","District","Network 3","Elementary-Middle","2590","Nebinger, George W. School","517","Y","447","405","230","1.10","56.79%","51.45%"
"2021-2022","District","Network 1","High","2620","Academy at Palumbo","1067","N","1118","0","0","-","-","0.00%"
"2021-2022","District","Network 10","Elementary-Middle","2630","Sharswood, George School","596","Y","373","429","142","0.87","33.10%","38.07%"
"2021-2022","District","Network 10","Elementary-Middle","2640","Southwark School","815","Y","897","979","518","0.92","52.91%","57.75%"
"2021-2022","District","Innovation Network","High","2650","Science Leadership Academy","1464","Y","500","0","0","-","-","0.00%"
"2021-2022","District","Network 1","High","2670","Constitution High School","400","N","394","0","0","-","-","0.00%"
"2021-2022","District","Innovation Network","Middle-High","2680","Science Leadership Academy at Beeber","900","N","677","0","0","-","-","0.00%"
"2021-2022","District","Network 3","Elementary-Middle","2690","Taggart, John H. School","616","Y","468","821","335","0.57","40.80%","71.58%"
